Ad asset report
All time
Asset status,Asset,Asset type,Campaign,Ad group,Level,Status,Status reason,Added by,Last updated,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Clicks
Enabled,"Themes & Decors
https://gulmohorbanquethallpune.com/",Sitelink,Performance Max I GBH Feb-25, --,Campaign,Eligible,,Advertiser,"Feb 9, 2025, 8:08 PM","1,871",64,3.42%,INR,2.66,170.26,64
Enabled,"Directions
Directions To Our
Business Location.
https://business.google.com/v/gulmohor-banquet-hall-abhiruchi-mall/01568347538920253536/39ba/_?{ignore}caid={campaignid}&agid={adgroupid}&gclid={gclid}#location",Sitelink, --, --,Account,Eligible,,Advertiser,"Sep 29, 2023, 10:35 AM","7,948",507,6.38%,INR,25.28,12817.82,507
Enabled,8669982255,Call, --, --,Account,Eligible,,Advertiser,"Sep 21, 2024, 10:42 AM",0,0, --,INR,0,0.00,0
Enabled,https://tpc.googlesyndication.com/simgad/11108410419924958052,Image,GULMOHOR | SEARCH, --,Campaign,Eligible,,Advertiser,"Oct 14, 2024, 4:28 PM","15,417",464,3.01%,INR,27.42,12722.26,464
Enabled,Gulmohor Banquet Hall,Business name,Search campaign| wedding | Munj| Dec-25, --,Campaign,Eligible,,Advertiser,"Dec 9, 2025, 11:45 AM",0,0, --,INR,0,0.00,0
Enabled,Gulmohor Banquet Hall,Business name,Performance Max I GBH Feb-25, --,Campaign,Eligible,,Advertiser,"Mar 26, 2025, 2:05 PM","71,074","11,942",16.80%,INR,0.98,11711.06,"11,646"
Enabled,8669982255,Call,Performance Max I GBH Feb-25, --,Campaign,Eligible,,Advertiser,"Dec 28, 2024, 10:53 AM","16,523","1,455",8.81%,INR,6.28,9137.71,"1,455"
Enabled,"Banquet Hall
https://gulmohorbanquethallpune.com/",Sitelink,Performance Max I GBH Feb-25, --,Campaign,Eligible,,Advertiser,"Feb 9, 2025, 8:08 PM","5,415",155,2.86%,INR,3.01,466.77,150
Enabled,Check Avalibility,Callout,GULMOHOR | SEARCH, --,Campaign,Eligible,,Advertiser,"Dec 28, 2024, 10:33 AM","12,498",458,3.66%,INR,21.60,9895.02,458
Enabled,Check Avalibility,Callout,Search campaign| wedding | Munj| Dec-25, --,Campaign,Eligible,,Advertiser,"Dec 9, 2025, 11:45 AM",0,0, --,INR,0,0.00,0
Enabled,Easy Booking Process,Callout,Search campaign| wedding | Munj| Dec-25, --,Campaign,Eligible,,Advertiser,"Dec 9, 2025, 11:45 AM",0,0, --,INR,0,0.00,0
Enabled,"Contact & Location
Call for hall details
Easy map directions
https://gulmohorbanquethallpune.com/",Sitelink,Search campaign| wedding | Munj| Dec-25, --,Campaign,Eligible,,Advertiser,"Dec 9, 2025, 11:45 AM",0,0, --,INR,0,0.00,0
Enabled,"Munj Packages
Ceremony hall options
Simple & premium setups
https://gulmohorbanquethallpune.com/",Sitelink,Search campaign| wedding | Munj| Dec-25, --,Campaign,Eligible,,Advertiser,"Dec 9, 2025, 12:53 PM",0,0, --,INR,0,0.00,0
Enabled,Check Avalibility,Callout,Performance Max I GBH Feb-25, --,Campaign,Eligible,,Advertiser,"Feb 9, 2025, 8:08 PM","1,184",93,7.85%,INR,4.98,462.85,93
Enabled,https://tpc.googlesyndication.com/simgad/10825620476475251582,Image,GULMOHOR | SEARCH, --,Campaign,Eligible,,Advertiser,"Oct 14, 2024, 4:28 PM","15,114",363,2.40%,INR,27.38,9939.22,363
Enabled,https://tpc.googlesyndication.com/simgad/12192638183421554494,Image,GULMOHOR | SEARCH, --,Campaign,Eligible,,Advertiser,"Jul 2, 2025, 1:53 PM",517,85,16.44%,INR,44.65,3795.25,85
Enabled,"News & Updates
Find News and Updates
Regarding our business.
https://business.google.com/v/gulmohor-banquet-hall-abhiruchi-mall/01568347538920253536/39ba/_?{ignore}caid={campaignid}&agid={adgroupid}&gclid={gclid}#posts",Sitelink,GULMOHOR | SEARCH, --,Campaign,Eligible,,Advertiser,"May 20, 2025, 12:15 PM","4,201",883,21.02%,INR,6.37,5621.00,883
